title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Luxurious 5BHK Builder Floor in Versova","Mumbai","Versova","5","2291","8","23","20","Furnished","South-East","Builder Floor","Buy","37615966","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Goregaon","Mumbai","Goregaon","3","1267","6","6","10","Unfurnished","North-East","Independent House","Buy","20144711","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Goregaon","Mumbai","Goregaon","4","1708","6","12","14","Unfurnished","South","Villa","Buy","24939483","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Mira Road","Mumbai","Mira Road","3","1745","10","22","24","Unfurnished","South-East","Studio","Buy","13346829","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Juhu","Mumbai","Juhu","1","1058","12","15","9","Furnished","North-West","Villa","Rent","54568","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Lower Parel","Mumbai","Lower Parel","3","1288","","","17","Unfurnished","South-West","Villa","Buy","30598840","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Kandivali","Mumbai","Kandivali","2","1477","19","29","11","Furnished","East","Independent House","Buy","26414206","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Thane","Mumbai","Thane","4","1369","17","30","11","Semi-Furnished","North-West","Independent House","Rent","67484","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Bandra West","Mumbai","Bandra West","1","1018","14","26","18","Unfurnished","East","Builder Floor","Buy","30498439","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Worli","Mumbai","Worli","3","1797","7","20","12","Semi-Furnished","South-East","Studio","Buy","60865735","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Mira Road","Mumbai","Mira Road","3","1800","8","18","9","Furnished","North","Villa","Rent","47482","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Worli","Mumbai","Worli","4","1492","20","22","15","Semi-Furnished","South-West","Studio","Buy","47090751","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Villa in Dahisar","Mumbai","Dahisar","4","1248","20","23","17","Semi-Furnished","West","Villa","Buy","14278540","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Kandivali","Mumbai","Kandivali","2","1256","13","27","9","Unfurnished","South-West","Villa","Rent","44152","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Kandivali","Mumbai","Kandivali","2","1106","13","17","21","Furnished","South-West","Independent House","Buy","17266260","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Independent House in Lower Parel","Mumbai","Lower Parel","5","2031","9","13","19","Unfurnished","West","Independent House","Rent","215449","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Kandivali","Mumbai","Kandivali","3","873","10","19","","Semi-Furnished","North-West","Apartment","Buy","15460879","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Dahisar","Mumbai","Dahisar","2","806","9","18","13","Unfurnished","East","Apartment","Rent","35658","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Malad","Mumbai","Malad","2","725","8","9","15","Furnished","West","Apartment","Rent","55237","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Dahisar","Mumbai","Dahisar","3","1090","8","22","6","Furnished","North-West","Villa","Buy","17252645","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Worli","Mumbai","Worli","1","600","1","9","10","Unfurnished","South-West","Villa","Buy","19451257","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Thane","Mumbai","Thane","2","1192","18","25","11","Semi-Furnished","West","Builder Floor","Rent","37749","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Thane","Mumbai","Thane","3","1299","8","12","7","Furnished","South-West","Independent House","Buy","19073880","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Builder Floor in Malad","Mumbai","Malad","5","1708","16","31","","Furnished","West","Builder Floor","Rent","131057","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Juhu","Mumbai","Juhu","2","1261","14","22","1","Unfurnished","North","Apartment","Rent","91283","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Kandivali","Mumbai","Kandivali","4","1462","14","18","20","Furnished","South-West","Independent House","Rent","95063","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Builder Floor in Powai","Mumbai","Powai","5","2329","10","11","10","Furnished","North-West","Builder Floor","Buy","58877188","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Mira Road","Mumbai","Mira Road","1","563","20","20","1","Unfurnished","West","Apartment","Buy","6000142","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Dahisar","Mumbai","Dahisar","1","1105","8","10","","Furnished","East","Villa","Buy","19527117","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Andheri West","Mumbai","Andheri West","2","1191","20","23","","Semi-Furnished","North","Studio","Buy","32717971","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Navi Mumbai","Mumbai","Navi Mumbai","3","1417","12","20","5","Semi-Furnished","North","Studio","Buy","15966368","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Borivali","Mumbai","Borivali","3","901","20","20","19","Furnished","North-West","Independent House","Buy","13421292","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Versova","Mumbai","Versova","2","1278","18","18","17","Semi-Furnished","North-East","Builder Floor","Buy","24143495","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Juhu","Mumbai","Juhu","3","1246","1","14","9","Semi-Furnished","West","Apartment","Rent","134431","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Lower Parel","Mumbai","Lower Parel","1","1031","5","5","23","Unfurnished","North","Independent House","Buy","26437419","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Kandivali","Mumbai","Kandivali","2","1074","2","4","10","Furnished","South-West","Studio","Rent","53773","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Bandra West","Mumbai","Bandra West","1","1042","14","22","25","Unfurnished","North-West","Studio","Buy","27760977","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Lower Parel","Mumbai","Lower Parel","3","1475","","3","10","Semi-Furnished","South-West","Independent House","Rent","133722","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Worli","Mumbai","Worli","3","1585","6","17","14","Furnished","South-East","Studio","Buy","56816432","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Bandra West","Mumbai","Bandra West","2","783","18","19","10","Semi-Furnished","West","Studio","Buy","25938170","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Versova","Mumbai","Versova","4","1890","13","15","6","Semi-Furnished","East","Studio","Buy","38503598","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Juhu","Mumbai","Juhu","2","1345","20","29","17","Unfurnished","North","Independent House","Buy","36264684","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Bandra West","Mumbai","Bandra West","4","1947","4","15","21","Furnished","South","Apartment","Buy","59211624","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Malad","Mumbai","Malad","3","1735","11","26","1","Semi-Furnished","South-West","Independent House","Rent","70263","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in Lower Parel","Mumbai","Lower Parel","4","1750","13","16","2","Furnished","North-West","Villa","Buy","62210096","true","true","Amit Patel","+91-9654321098"
"Luxurious 5BHK Villa in Mira Road","Mumbai","Mira Road","5","2417","10","13","23","Furnished","North","Villa","Rent","90598","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Lower Parel","Mumbai","Lower Parel","4","1204","14","26","25","Semi-Furnished","South-West","Villa","Buy","27324750","true","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Dahisar","Mumbai","Dahisar","1","793","19","32","12","Furnished","North-West","Independent House","Buy","11500272","true","true","Priya Singh","+91-9765432109"
"Luxurious 5BHK Builder Floor in Juhu","Mumbai","Juhu","5","1704","18","20","8","Unfurnished","East","Builder Floor","Buy","51390735","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Lower Parel","Mumbai","Lower Parel","2","841","18","19","3","Semi-Furnished","North","Villa","Buy","29855467","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Kandivali","Mumbai","Kandivali","2","1403","11","13","20","Semi-Furnished","West","Independent House","Rent","43850","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in Powai","Mumbai","Powai","4","1368","10","17","20","Unfurnished","South-East","Villa","Buy","24160479","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Juhu","Mumbai","Juhu","4","1315","14","27","23","Semi-Furnished","East","Apartment","Buy","34684453","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Dahisar","Mumbai","Dahisar","2","1294","7","9","9","Semi-Furnished","North-West","Studio","Buy","16143184","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Bandra West","Mumbai","Bandra West","1","880","17","32","2","Semi-Furnished","South-West","Studio","Rent","53175","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Andheri West","Mumbai","Andheri West","3","1338","5","6","2","Semi-Furnished","South","Independent House","Rent","108954","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Andheri West","Mumbai","Andheri West","2","947","5","19","12","Furnished","South","Independent House","Buy","23061690","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Versova","Mumbai","Versova","1","801","10","12","1","Semi-Furnished","North-West","Studio","Buy","18295301","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Versova","Mumbai","Versova","2","1345","14","28","8","Semi-Furnished","North","Independent House","Buy","26920407","","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Thane","Mumbai","Thane","1","756","14","14","4","Unfurnished","North-West","Studio","Buy","9469519","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Independent House in Dahisar","Mumbai","Dahisar","4","2027","20","26","1","Semi-Furnished","North-East","Independent House","Rent","75046","true","true","Priya Singh","+91-9765432109"
"Luxurious 5BHK Studio in Lower Parel","Mumbai","Lower Parel","5","2263","20","30","14","Semi-Furnished","South-West","Studio","Buy","61656200","true","true","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Apartment in Malad","Mumbai","Malad","5","2038","8","23","17","Unfurnished","West","Apartment","Rent","125868","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Lower Parel","Mumbai","Lower Parel","2","1279","20","35","8","Unfurnished","West","Builder Floor","Rent","89105","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in Versova","Mumbai","Versova","1","890","18","25","13","Unfurnished","South-West","Builder Floor","Buy","16397740","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Villa in Thane","Mumbai","Thane","4","1391","9","22","1","Furnished","North-West","Villa","Rent","74684","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Powai","Mumbai","Powai","4","2049","15","19","17","Semi-Furnished","West","Independent House","Buy","38019030","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Versova","Mumbai","Versova","1","1045","5","20","17","Semi-Furnished","West","Apartment","Buy","18654362","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Navi Mumbai","Mumbai","Navi Mumbai","3","1396","10","24","21","Unfurnished","West","Independent House","Rent","45044","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Goregaon","Mumbai","Goregaon","3","1366","7","19","4","Unfurnished","North-East","Studio","Buy","23589965","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Goregaon","Mumbai","Goregaon","4","1093","12","16","20","Furnished","North","Villa","Rent","114227","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Malad","Mumbai","Malad","1","1032","13","13","18","Semi-Furnished","North-West","Studio","Buy","15976907","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Versova","Mumbai","Versova","3","1168","11","26","25","Unfurnished","East","Apartment","Rent","82675","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Lower Parel","Mumbai","Lower Parel","3","1429","15","16","23","Furnished","West","Apartment","Rent","135960","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in Lower Parel","Mumbai","Lower Parel","4","2179","18","19","1","Furnished","North-East","Villa","Buy","79818793","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Worli","Mumbai","Worli","1","701","2","9","2","Unfurnished","North-East","Independent House","Buy","24417959","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Bandra West","Mumbai","Bandra West","3","1302","6","7","8","Semi-Furnished","West","Villa","Buy","51251703","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Andheri West","Mumbai","Andheri West","2","1323","13","14","8","Semi-Furnished","North","Independent House","Buy","31852624","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Borivali","Mumbai","Borivali","2","1120","","9","24","Furnished","South-East","Villa","Buy","14648177","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in Thane","Mumbai","Thane","5","2327","20","31","1","Semi-Furnished","North-West","Apartment","Buy","33482164","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Dahisar","Mumbai","Dahisar","3","1568","8","16","6","Unfurnished","South-East","Studio","Rent","53047","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Thane","Mumbai","Thane","1","998","17","26","11","Unfurnished","North","Villa","Buy","11608346","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Borivali","Mumbai","Borivali","2","983","10","10","4","Furnished","North-East","Apartment","Buy","18041990","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Palam Vihar","Gurgaon","Palam Vihar","4","2031","7","11","4","Unfurnished","North-West","Studio","Buy","14371116","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Udyog Vihar","Gurgaon","Udyog Vihar","1","818","11","20","25","Semi-Furnished","North-West","Independent House","Buy","5776801","","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Studio in Vatika City","Gurgaon","Vatika City","5","1315","14","14","23","Furnished","North","Studio","Buy","11421797","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Cyber City","Gurgaon","Cyber City","3","1754","18","21","14","Furnished","East","Studio","Rent","69879","true","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Cyber City","Gurgaon","Cyber City","1","634","16","20","18","Unfurnished","North-West","Builder Floor","Buy","5969681","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Udyog Vihar","Gurgaon","Udyog Vihar","4","1719","4","7","8","Furnished","South-West","Independent House","Buy","15679842","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in South City","Gurgaon","South City","3","1007","7","14","6","Furnished","North-East","Builder Floor","Buy","8994677","","true","Sunita Verma","+91-9543210987"
